,0
452,60.127499
453,59.990002
454,60.794998
455,60.895
456,61.645
457,62.262501
458,60.822498
459,60.814999
460,62.189999
461,63.955002
462,64.375
463,64.282501
464,64.309998
465,64.857498
466,65.035004
467,65.550003
468,65.489998
469,66.1175
470,65.660004
471,66.440002
472,66.775002
473,66.572502
474,65.797501
475,65.502502
476,65.445
477,66.592499
478,66.072502
479,66.959999
480,66.8125
481,66.040001
482,64.862503
483,65.434998
484,66.394997
485,67.677498
486,66.730003
487,67.120003
488,67.692497
489,67.864998
490,68.787498
491,69.964996
492,70.102501
493,69.934998
494,70.004997
495,69.860001
496,71.0
497,71.067497
498,72.477501
499,72.449997
500,72.879997
501,73.412498
502,75.087502
503,74.357498
504,74.949997
505,74.597504
506,75.797501
507,77.407501
508,77.582497
509,79.239998
510,78.169998
511,77.834999
512,78.809998
513,79.682503
514,79.142502
515,79.425003
516,79.807503
517,79.577499
518,77.237503
519,79.422501
520,81.084999
521,80.967499
522,77.377502
523,77.165001
524,79.712502
525,80.362503
526,81.302498
527,80.0075
528,80.387497
529,79.902496
530,81.800003
531,81.217499
532,81.237503
533,79.75
534,80.904999
535,80.074997
536,78.262497
537,74.544998
538,72.019997
539,73.162498
540,68.379997
541,68.339996
542,74.702499
543,72.330002
544,75.684998
545,73.230003
546,72.2575
547,66.542503
548,71.334999
549,68.857498
550,62.057499
551,69.4925
552,60.552502
553,63.215
554,61.6675
555,61.195
556,57.310001
557,56.092499
558,61.720001
559,61.380001
560,64.610001
561,61.935001
562,63.702499
563,63.572498
564,60.227501
565,61.232498
566,60.352501
567,65.6175
568,64.857498
569,66.517502
570,66.997498
571,68.3125
572,71.762497
573,71.107498
574,71.672501
575,70.699997
576,69.232498
577,67.092499
578,69.025002
579,68.7575
580,70.7425
581,70.792503
582,69.644997
583,71.932503
584,73.449997
585,72.267502
586,73.290001
587,74.389999
588,75.157501
589,75.934998
590,77.532501
591,78.752502
592,77.852501
593,76.912498
594,77.385002
595,76.927498
596,78.739998
597,78.285004
598,79.807503
599,79.212502
600,79.722504
601,79.182503
602,79.527496
603,79.5625
604,79.485001
605,80.462502
606,80.834999
607,81.279999
608,80.580002
609,82.875
610,83.364998
611,85.997498
612,88.209999
613,83.974998
614,84.699997
615,85.747498
616,88.019997
617,87.897499
618,87.932503
619,87.43
620,89.717499
621,91.6325
622,90.014999
623,91.209999
624,88.407501
625,90.445
626,91.199997
627,91.027496
628,91.027496
629,93.462502
630,93.172501
631,95.342499
632,95.752502
633,95.919998
634,95.477501
635,97.057503
636,97.724998
637,96.522499
638,96.327499
639,98.357498
640,97.0
641,97.272499
642,92.845001
643,92.614998
644,94.809998
645,93.252502
646,95.040001
647,96.190002
648,106.260002
649,108.9375
650,109.665001
651,110.0625
652,113.902496
653,111.112503
654,112.727501
655,109.375
656,113.010002
657,115.010002
658,114.907501
659,114.607498
660,115.5625
661,115.707497
662,118.275002
663,124.370003
664,125.857498
665,124.824997
666,126.522499
667,125.010002
668,124.807503
669,129.039993
670,134.179993
671,131.399994
672,120.879997
673,120.959999
674,112.82
675,117.32
676,113.489998
677,112.0
678,115.360001
679,115.540001
680,112.129997
681,110.339996
682,106.839996
683,110.080002
684,111.809998
685,107.120003
686,108.220001
687,112.279999
688,114.959999
689,114.089996
690,115.809998
691,116.790001
692,113.019997
693,116.5
694,113.160004
695,115.080002
696,114.970001
697,116.970001
698,124.400002
699,121.099998
